"","Age_Category","Marriage_Category","POC Population Category","Poverty Rate Classification","Disabled Population Category"
"2112","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2113","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2114","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2115","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2116","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2117","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2118","Mature Adult","Many Marriages","Low","High Poverty","Medium"
"2119","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2120","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2121","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2122","Mature Adult","High Marriages","High","Low Poverty","Low"
"2123","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2124","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2125","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2126","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2127","Mature Adult","Few Marriages","Low","Low Poverty","Medium"
"2128","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2129","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2130","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2131","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2132","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2133","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"2134","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2135","Mature Adult","No Marriages","Medium","Low Poverty","Low"
"2136","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2137","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2138","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2139","Mature Adult","Few Marriages","High","Low Poverty","Low"
"2140","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2141","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2142","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2143","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2144","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2145","Mature Adult","Few Marriages","High","High Poverty","High"
"2146","Older Adult","No Marriages","Medium","Low Poverty","High"
"2147","Adult","Many Marriages","High","Low Poverty","Low"
"2148","Mature Adult","No Marriages","High","High Poverty","Medium"
"2149","Adult","Many Marriages","High","Low Poverty","Medium"
"2150","Mature Adult","No Marriages","High","High Poverty","Medium"
"2151","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2152","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2153","Adult","Median Marriages","High","Low Poverty","Low"
"2154","Older Adult","Median Marriages","High","Low Poverty","Medium"
"2155","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2156","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2157","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2158","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"2159","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2160","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2161","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2162","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2163","Mature Adult","No Marriages","High","Low Poverty","Medium"
"2164","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2165","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2166","Adult","Low Marriages","High","Low Poverty","Low"
"2167","Mature Adult","No Marriages","Medium","High Poverty","High"
"2168","Mature Adult","Few Marriages","High","High Poverty","High"
"2169","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2170","Mature Adult","Few Marriages","Medium","Low Poverty","Low"
"2171","Mature Adult","Few Marriages","Medium","High Poverty","Medium"
"2172","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2173","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2174","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2175","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2176","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2177","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2178","Mature Adult","Median Marriages","High","High Poverty","Medium"
"2179","Older Adult","Few Marriages","High","High Poverty","Medium"
"2180","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2181","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2182","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2183","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2184","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2185","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2186","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2187","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2188","Mature Adult","High Marriages","High","Low Poverty","Low"
"2189","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2190","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2191","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2192","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2193","Young","Many Marriages","High","High Poverty","Low"
"2194","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2195","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2196","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2197","Mature Adult","Few Marriages","High","High Poverty","High"
"2198","Mature Adult","No Marriages","Medium","Low Poverty","Medium"
"2199","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2200","Mature Adult","Low Marriages","High","High Poverty","Medium"
"2201","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2202","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2203","Adult","Low Marriages","High","High Poverty","Low"
"2204","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2205","Mature Adult","High Marriages","High","Low Poverty","Low"
"2206","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2207","Mature Adult","Median Marriages","High","Low Poverty","Medium"
"2208","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2209","Adult","Few Marriages","Medium","Low Poverty","Low"
"2210","Mature Adult","Few Marriages","Medium","Low Poverty","Medium"
"2211","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2212","Adult","Many Marriages","Medium","Low Poverty","Low"
"2213","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2214","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2215","Mature Adult","Median Marriages","Medium","Low Poverty","Medium"
"2216","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2217","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2218","Senior","Median Marriages","Medium","Low Poverty","Medium"
"2219","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2220","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2221","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2222","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2223","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2224","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2225","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2226","Mature Adult","Low Marriages","High","Low Poverty","Medium"
"2227","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2228","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2229","Older Adult","Few Marriages","Medium","Low Poverty","Medium"
"2230","Mature Adult","High Marriages","Medium","Low Poverty","Medium"
"2231","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"2232","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2233","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2234","Mature Adult","High Marriages","High","Low Poverty","Medium"
"2235","Mature Adult","Few Marriages","High","Low Poverty","Medium"
"2236","Mature Adult","High Marriages","High","Low Poverty","Low"
"2237","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2238","Older Adult","No Marriages","Medium","Low Poverty","Medium"
"2239","Older Adult","Median Marriages","Medium","Low Poverty","Medium"
"2240","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2241","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2242","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2243","Mature Adult","Low Marriages","Medium","Low Poverty","Medium"
"2244","Mature Adult","High Marriages","High","Low Poverty","Low"
"2245","Senior","No Marriages","Medium","Low Poverty","Medium"
"2246","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2247","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2248","Mature Adult","High Marriages","High","Low Poverty","Low"
"2249","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2250","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2251","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2252","Mature Adult","High Marriages","High","Low Poverty","Low"
"2253","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2254","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2255","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2256","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2257","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2258","Older Adult","No Marriages","Low","Low Poverty","Medium"
"2259","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2260","Adult","Many Marriages","Medium","Low Poverty","Low"
"2261","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2262","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2263","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2264","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2265","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2266","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2267","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2268","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2269","Mature Adult","High Marriages","High","Low Poverty","Low"
"2270","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2271","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2272","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2273","Older Adult","No Marriages","High","Low Poverty","Medium"
"2274","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2275","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2276","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2277","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2278","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2279","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2280","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"2281","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2282","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2283","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2284","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2285","Mature Adult","High Marriages","High","Low Poverty","Low"
"2286","Mature Adult","High Marriages","Medium","Low Poverty","Medium"
"2287","Mature Adult","Many Marriages","Medium","Low Poverty","Medium"
"2288","Mature Adult","Median Marriages","Low","Low Poverty","Medium"
"2289","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2290","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2291","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2292","Mature Adult","High Marriages","High","Low Poverty","Low"
"2293","Mature Adult","Low Marriages","Low","Low Poverty","Low"
"2294","Mature Adult","High Marriages","High","Low Poverty","Low"
"2295","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2296","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2297","Adult","High Marriages","High","High Poverty","Medium"
"2298","Older Adult","Many Marriages","Medium","Low Poverty","Medium"
"2299","Older Adult","Few Marriages","Low","Low Poverty","Medium"
"2300","Mature Adult","Many Marriages","Low","Low Poverty","Medium"
"2301","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2302","Older Adult","Many Marriages","Low","Low Poverty","Medium"
"2303","Senior","No Marriages","Low","Low Poverty","Medium"
"2304","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2305","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2306","Mature Adult","Median Marriages","Medium","Low Poverty","Low"
"2307","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2308","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2309","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2310","Older Adult","Median Marriages","Low","Low Poverty","Medium"
"2311","Older Adult","High Marriages","Low","Low Poverty","Medium"
"2312","Older Adult","Median Marriages","Low","Low Poverty","Low"
"2313","Mature Adult","High Marriages","Medium","Low Poverty","Low"
"2314","Mature Adult","Median Marriages","Low","Low Poverty","Low"
"2315","Mature Adult","Many Marriages","Medium","Low Poverty","Low"
"2316","Older Adult","Many Marriages","Medium","Low Poverty","Low"
"2317","Mature Adult","High Marriages","High","Low Poverty","Low"
"2318","Mature Adult","Many Marriages","Low","Low Poverty","Low"
"2319","Mature Adult","Median Marriages","High","Low Poverty","Low"
"2320","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2321","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2322","Mature Adult","Many Marriages","High","Low Poverty","Medium"
"2323","Mature Adult","Few Marriages","High","High Poverty","Medium"
"2324","Mature Adult","Low Marriages","High","High Poverty","Medium"
"2325","Older Adult","Many Marriages","High","Low Poverty","Low"
"2326","Mature Adult","Many Marriages","High","Low Poverty","Low"
"2327","Older Adult","Few Marriages","High","Low Poverty","Medium"
"2328","Mature Adult","High Marriages","High","Low Poverty","Low"
"2329","Mature Adult","Median Marriages","High","Low Poverty","Medium"
